source_image,table_index,rows,columns,confidence,extraction_notes,row_index,Security Name,ISIN,Currency,Units,Price,Market Value,Asset Class,Allocation %,Value USD,Target %
fileoutpart21.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart22.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart22.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart22.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart23.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart23.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart23.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart24.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart24.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart24.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart25.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart25.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart25.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart26.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart26.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart26.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
fileoutpart27.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,0,,,,,,,Bonds,65.5%,"808,542.17",65.0%
fileoutpart27.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,1,,,,,,,Equities,30.2%,"372,983.46",30.0%
fileoutpart27.png,0,8,4,0.85,Asset allocation table with percentage breakdowns,2,,,,,,,Cash,4.3%,"53,042.26",5.0%
