text,page,path,bounds,font_size
Note II Blocked guarantees,2,//Document/P[4],"[30.960006713867188, 74.03999328613281, 123.54862976074219, 82.80000305175781]",6.0
Summary,2,//Document/H1[4],"[670.9127960205078, 505.56500244140625, 730.08447265625, 517.3150024414062]",12.5
Ł Assets,2,//Document/Table/TR/TH/P,"[386.63999938964844, 474.8560028076172, 418.8192138671875, 506.53599548339844]",8.0
Countervalue USD,2,//Document/Table/TR/TH[2]/P,"[608.3766021728516, 479.656005859375, 676.8805694580078, 506.53599548339844]",8.0
Weight in%,2,//Document/Table/TR/TH[3]/P,"[686.4006042480469, 479.656005859375, 732.066162109375, 506.53599548339844]",8.0
Liquidity,2,//Document/Table/TR[2]/TH/P,"[393.6000061035156, 471.47999572753906, 422.70013427734375, 480.24000549316406]",6.0
149'195,2,//Document/Table/TR[2]/TD/P,"[648.5045928955078, 473.6959991455078, 677.7556915283203, 479.78399658203125]",8.0
0.77%,2,//Document/Table/TR[2]/TD[2]/P,"[708.4806060791016, 473.6320037841797, 731.7060699462891, 479.7200012207031]",8.0
Bonds,2,//Document/Table/TR[3]/TH/P,"[393.6000061035156, 459.24000549316406, 416.37237548828125, 468.0]",6.0
12'404'917,2,//Document/Table/TR[3]/TD/P,"[639.0805969238281, 461.3919982910156, 676.6378479003906, 467.47999572753906]",8.0
63.77%,2,//Document/Table/TR[3]/TD[2]/P,"[704.1605987548828, 461.343994140625, 731.7240753173828, 467.4320068359375]",8.0
Equities,2,//Document/Table/TR[4]/TH/P,"[393.6000061035156, 447.1199951171875, 421.8394470214844, 455.8800048828125]",6.0
25'458,2,//Document/Table/TR[4]/TD/P,"[652.3206024169922, 449.2799987792969, 676.8988494873047, 455.3679962158203]",8.0
0.13%,2,//Document/Table/TR[4]/TD[2]/P,"[708.4806060791016, 449.29600524902344, 731.7335357666016, 455.3840026855469]",8.0
Mixed funds,2,//Document/Table/TR[5]/TH/P,"[393.6000061035156, 434.75999450683594, 435.7812957763672, 443.52000427246094]",6.0
Structured products,2,//Document/Table/TR[6]/TH/P,"[392.8800048828125, 422.2799987792969, 461.2870178222656, 431.0399932861328]",6.0
6'846'829,2,//Document/Table/TR[6]/TD/P,"[642.4806060791016, 424.44000244140625, 676.7763824462891, 430.5279998779297]",8.0
35.20%,2,//Document/Table/TR[6]/TD[2]/P,"[703.9205932617188, 424.44000244140625, 731.7615356445312, 430.5279998779297]",8.0
Precious metals,2,//Document/Table/TR[7]/TH/P,"[393.6000061035156, 410.0399932861328, 449.2608184814453, 418.8000030517578]",6.0
Real Estate,2,//Document/Table/TR[8]/TH/P,"[393.6000061035156, 397.32000732421875, 434.19219970703125, 406.0800018310547]",6.0
Other assets,2,//Document/Table/TR[9]/TH/P,"[393.36000061035156, 384.8399963378906, 437.84495544433594, 393.6000061035156]",6.0
26'129,2,//Document/Table/TR[9]/TD/P,"[652.3206024169922, 387.0559997558594, 677.0464324951172, 393.1439971923828]",8.0
0.13%,2,//Document/Table/TR[9]/TD[2]/P,"[708.4806060791016, 386.9360046386719, 731.7335357666016, 393.0240020751953]",8.0
Total,2,//Document/Table/TR[10]/TH/P,"[393.1199951171875, 358.93629455566406, 415.065673828125, 385.81629943847656]",8.0
19'452'528,2,//Document/Table/TR[10]/TD/P,"[637.9205932617188, 359.0480041503906, 676.6847534179688, 385.92799377441406]",8.0
100.00%,2,//Document/Table/TR[10]/TD[2]/P,"[700.0805969238281, 358.98399353027344, 731.6881408691406, 385.86399841308594]",8.0
Thereof accrued interest,2,//Document/Table/TR[11]/TH/P,"[394.0800018310547, 361.0574951171875, 477.6866149902344, 366.8399963378906]",7.5
306'532,2,//Document/Table/TR[11]/TD/P,"[648.2400054931641, 361.0574951171875, 677.0327606201172, 366.8399963378906]",7.5
Collected,2,//Document/Table[2]/TR/TD/P,"[393.36000061035156, 312.4199981689453, 426.43763732910156, 321.17999267578125]",6.0
228'246,2,//Document/Table[2]/TR/TD[2]/P,"[648.0, 314.75999450683594, 676.7421875, 320.84800720214844]",8.0
Accruals,2,//Document/Table[2]/TR[2]/TD/P,"[392.98199462890625, 299.82000732421875, 424.1786804199219, 308.5800018310547]",6.0
306'532,2,//Document/Table[2]/TR[2]/TD[2]/P,"[648.2400054931641, 302.0959930419922, 676.7468414306641, 308.1840057373047]",8.0
3221,2,//Document/Table[3]/TR/TH/P,"[386.63999938964844, 266.26800537109375, 437.63905334472656, 282.375]",13.0
[in5I3,2,//Document/Table[3]/TR/TH[3]/P,"[516.2400054931641, 264.0959930419922, 581.7402801513672, 280.2030029296875]",13.0
21,2,//Document/Table[3]/TR/TH[5]/P,"[684.2400054931641, 266.26499938964844, 741.8009490966797, 281.406005859375]",21.0
USD,2,//Document/Table[3]/TR[2]/TH/P,"[393.6000061035156, 254.0399932861328, 411.2081604003906, 260.1280059814453]",8.0
19'427'070,2,//Document/Table[3]/TR[2]/TD[4]/P,"[638.8800048828125, 253.97999572753906, 676.88427734375, 260.0679931640625]",8.0
99.87%,2,//Document/Table[3]/TR[2]/TD[5]/P,"[704.1600036621094, 253.9320068359375, 731.7303161621094, 260.02000427246094]",8.0
CHF,2,//Document/Table[3]/TR[3]/TH/P,"[393.36000061035156, 241.55999755859375, 410.71998596191406, 247.6479949951172]",8.0
20'952,2,//Document/Table[3]/TR[3]/TD/P,"[479.75999450683594, 241.4871063232422, 504.25962829589844, 247.57510375976562]",8.0
1.2151,2,//Document/Table[3]/TR[3]/TD[2]/P,"[523.9199981689453, 241.5030975341797, 549.1375274658203, 247.59109497070312]",8.0
0.8230,2,//Document/Table[3]/TR[3]/TD[3]/P,"[567.6799926757812, 241.3271026611328, 593.0175170898438, 247.41510009765625]",8.0
25'458,2,//Document/Table[3]/TR[3]/TD[4]/P,"[652.3200073242188, 241.44400024414062, 676.8982543945312, 247.53199768066406]",8.0
0.13%,2,//Document/Table[3]/TR[3]/TD[5]/P,"[708.4799957275391, 241.4040069580078, 731.7329254150391, 247.49200439453125]",8.0
Total,2,//Document/Table[3]/TR[4]/TH/P,"[393.1199951171875, 213.25599670410156, 415.0960693359375, 240.13600158691406]",8.0
19'452'528,2,//Document/Table[3]/TR[4]/TD[4]/P,"[638.1519927978516, 213.32400512695312, 676.6530914306641, 240.20399475097656]",8.0
100.00%,2,//Document/Table[3]/TR[4]/TD[5]/P,"[700.0800018310547, 213.25999450683594, 731.6462860107422, 240.13999938964844]",8.0
Asset Allocation,3,//Document/Table[4]/TR/TH/P,"[35.75999450683594, 479.71600341796875, 96.45671081542969, 506.5959930419922]",8.0
Countervalue USO,3,//Document/Table[4]/TR/TH[2]/P,"[239.15199279785156, 479.65199279785156, 307.1503143310547, 506.53199768066406]",8.0
Liquidity,3,//Document/Table[4]/TR[2]/TH/P,"[36.24000549316406, 462.13999938964844, 69.69618225097656, 489.02000427246094]",8.0
149'195,3,//Document/Table[4]/TR[2]/TD/P,"[278.1600036621094, 462.1320037841797, 307.2923278808594, 489.0119934082031]",8.0
0.77%,3,//Document/Table[4]/TR[2]/TD[2]/P,"[351.6000061035156, 462.156005859375, 375.0992736816406, 489.03599548339844]",8.0
Cash accounts,3,//Document/Table[4]/TR[3]/TH/P,"[36.0, 460.6840057373047, 87.98956298828125, 468.3240051269531]",8.0
4'195,3,//Document/Table[4]/TR[3]/TD/P,"[286.55999755859375, 460.6759948730469, 306.77947998046875, 468.3159942626953]",8.0
0.02%,3,//Document/Table[4]/TR[3]/TD[2]/P,"[351.6000061035156, 460.7640075683594, 374.7789611816406, 468.4040069580078]",8.0
Money Market,3,//Document/Table[4]/TR[4]/TH/P,"[36.24000549316406, 450.0039978027344, 85.45195007324219, 457.6439971923828]",8.0
Fixed deposits and fiduciaries,3,//Document/Table[4]/TR[5]/TH/P,"[36.24000549316406, 439.08399963378906, 137.8738555908203, 446.7239990234375]",8.0
145'000,3,//Document/Table[4]/TR[5]/TD/P,"[278.7359924316406, 439.0760040283203, 307.6579895019531, 446.71600341796875]",8.0
0.75%,3,//Document/Table[4]/TR[5]/TD[2]/P,"[351.6000061035156, 439.1000061035156, 374.7854309082031, 446.74000549316406]",8.0
Bonds,3,//Document/Table[4]/TR[6]/TH/P,"[36.24000549316406, 412.94000244140625, 61.28126525878906, 439.82000732421875]",8.0
12'404'917,3,//Document/Table[4]/TR[6]/TD/P,"[268.0800018310547, 412.9320068359375, 307.5778045654297, 439.81199645996094]",8.0
63.77%,3,//Document/Table[4]/TR[6]/TD[2]/P,"[347.2799987792969, 412.9720001220703, 375.0517272949219, 439.8520050048828]",8.0
Bonds,3,//Document/Table[4]/TR[7]/TH/P,"[36.24000549316406, 411.5480041503906, 59.56959533691406, 419.18800354003906]",8.0
11'024'421,3,//Document/Table[4]/TR[7]/TD/P,"[268.88800048828125, 411.4199981689453, 307.40972900390625, 419.05999755859375]",8.0
56.67%,3,//Document/Table[4]/TR[7]/TD[2]/P,"[347.2799987792969, 411.50799560546875, 374.9584655761719, 419.1479949951172]",8.0
Bond funds / certificates,3,//Document/Table[4]/TR[8]/TH/P,"[36.24000549316406, 400.44000244140625, 119.23654174804688, 408.13999938964844]",8.0
1'380'496,3,//Document/Table[4]/TR[8]/TD/P,"[273.1199951171875, 400.4440002441406, 307.3275146484375, 408.08399963378906]",8.0
7.10%,3,//Document/Table[4]/TR[8]/TD[2]/P,"[351.36000061035156, 400.46800231933594, 374.90736389160156, 408.1080017089844]",8.0
Convertibles,3,//Document/Table[4]/TR[9]/TH/P,"[35.99659729003906, 389.63999938964844, 80.09230041503906, 397.2799987792969]",8.0
Equities,3,//Document/Table[4]/TR[10]/TH/P,"[36.236602783203125, 363.54400634765625, 67.65847778320312, 390.4239959716797]",8.0
25'458,3,//Document/Table[4]/TR[10]/TD/P,"[282.0, 363.5559997558594, 307.1116943359375, 390.4360046386719]",8.0
0.13%,3,//Document/Table[4]/TR[10]/TD[2]/P,"[351.6000061035156, 363.5240020751953, 375.1009826660156, 390.4040069580078]",8.0
Equities,3,//Document/Table[4]/TR[11]/TH/P,"[36.236602783203125, 362.0399932861328, 65.19924926757812, 369.67999267578125]",8.0
25'458,3,//Document/Table[4]/TR[11]/TD/P,"[282.47999572753906, 362.04400634765625, 306.90382385253906, 369.6840057373047]",8.0
0.13%,3,//Document/Table[4]/TR[11]/TD[2]/P,"[351.36000061035156, 362.05999755859375, 374.92286682128906, 369.6999969482422]",8.0
Equity funds/certificates,3,//Document/Table[4]/TR[12]/TH/P,"[36.236602783203125, 351.1840057373047, 118.46762084960938, 358.8240051269531]",8.0
Mixed funds,3,//Document/Table[4]/TR[13]/TH/P,"[36.236602783203125, 325.1759948730469, 81.9775390625, 352.0559997558594]",8.0
Structured products,3,//Document/Table[4]/TR[14]/TH/P,"[35.99659729003906, 308.5919952392578, 110.58503723144531, 335.4720001220703]",8.0
6'846'829,3,//Document/Table[4]/TR[14]/TD/P,"[272.0, 308.5399932861328, 307.1197509765625, 335.4199981689453]",8.0
35.20%,3,//Document/Table[4]/TR[14]/TD[2]/P,"[347.2799987792969, 308.6759948730469, 375.0586853027344, 335.5559997558594]",8.0
Structured products (Bonds),3,//Document/Table[4]/TR[15]/TH/P,"[35.99659729003906, 307.32000732421875, 132.6030731201172, 314.9600067138672]",8.0
5'854'729,3,//Document/Table[4]/TR[15]/TD/P,"[272.63999938964844, 307.3240051269531, 306.94444274902344, 314.96400451660156]",8.0
30.10%,3,//Document/Table[4]/TR[15]/TD[2]/P,"[347.1280059814453, 307.3399963378906, 374.9866485595703, 314.97999572753906]",8.0
Structured products (Equities),3,//Document/Table[4]/TR[16]/TH/P,"[35.99659729003906, 296.2799987792969, 138.36083984375, 303.9199981689453]",8.0
992'100,3,//Document/Table[4]/TR[16]/TD/P,"[278.1600036621094, 296.34800720214844, 307.0291442871094, 303.9880065917969]",8.0
5.10%,3,//Document/Table[4]/TR[16]/TD[2]/P,"[351.6000061035156, 296.24400329589844, 374.8753967285156, 303.8840026855469]",8.0
Various Certificates,3,//Document/Table[4]/TR[17]/TH/P,"[35.75660705566406, 285.24000549316406, 104.11955261230469, 292.8800048828125]",8.0
Metal accounts and precious metals,3,//Document/Table[4]/TR[18]/TH/P,"[36.236602783203125, 259.15199279785156, 167.93426513671875, 286.03199768066406]",8.0
Metal accounts,3,//Document/Table[4]/TR[19]/TH/P,"[36.236602783203125, 257.8800048828125, 88.9735107421875, 265.52000427246094]",8.0
Precious metals,3,//Document/Table[4]/TR[20]/TH/P,"[36.236602783203125, 247.0800018310547, 92.57431030273438, 254.72000122070312]",8.0
Real Estate,3,//Document/Table[4]/TR[21]/TH/P,"[36.236602783203125, 220.93600463867188, 78.88577270507812, 247.8159942626953]",8.0
Other assets,3,//Document/Table[4]/TR[22]/TH/P,"[35.99659729003906, 204.37600708007812, 83.70416259765625, 231.25599670410156]",8.0
26'129,3,//Document/Table[4]/TR[22]/TD/P,"[282.24000549316406, 204.32400512695312, 306.90003967285156, 231.20399475097656]",8.0
0.13%,3,//Document/Table[4]/TR[22]/TD[2]/P,"[351.6000061035156, 204.4040069580078, 375.0733947753906, 231.28399658203125]",8.0
Hedge Funds & Private Equity,3,//Document/Table[4]/TR[23]/TH/P,"[36.236602783203125, 202.9199981689453, 139.59117126464844, 210.62399291992188]",8.0
26'129,3,//Document/Table[4]/TR[23]/TD/P,"[282.47999572753906, 202.9320068359375, 306.69105529785156, 210.57200622558594]",8.0
0.13%,3,//Document/Table[4]/TR[23]/TD[2]/P,"[351.36000061035156, 203.00399780273438, 374.92958068847656, 210.6439971923828]",8.0
Alternative UCITS,3,//Document/Table[4]/TR[24]/TH/P,"[35.75999450683594, 191.94000244140625, 98.48347473144531, 199.5800018310547]",8.0
Commodity funds,3,//Document/Table[4]/TR[25]/TH/P,"[36.3280029296875, 180.947998046875, 96.87553405761719, 188.58799743652344]",8.0
Options,3,//Document/Table[4]/TR[26]/TH/P,"[36.0, 170.10800170898438, 64.1475830078125, 177.7480010986328]",8.0
100.00%,3,//Document/Table[4]/TR[27]/TH[3]/P,"[343.44000244140625, 152.59449768066406, 374.9359588623047, 158.6280059814453]",8.0
Total assets 19'452'528,3,//Document/P[5],"[35.75999450683594, 141.24400329589844, 307.30902099609375, 168.60400390625]",8.0
Portfolio Total,3,//Document/Table[5]/TR/TH/P,"[36.24000549316406, 123.85200500488281, 89.2413330078125, 150.73199462890625]",8.0
19'452'528,3,//Document/Table[5]/TR/TD/P,"[268.0800018310547, 123.843994140625, 307.3452606201172, 150.7239990234375]",8.0
Assets and Liabilities Structure,3,//Document/H1[5],"[543.8399963378906, 507.94000244140625, 729.6905822753906, 517.3150024414062]",12.5
Liabilities and obligations Liabilities,3,//Document/H1[6],"[392.63999938964844, 462.3679962158203, 487.9177703857422, 506.53599548339844]",8.0
Cash accounts,3,//Document/P[6]/Sub,"[392.3999938964844, 461.01600646972656, 444.6714324951172, 468.656005859375]",8.0
Fixed advance,3,//Document/P[6]/Sub[2],"[392.63999938964844, 450.1999969482422, 443.6723175048828, 457.8399963378906]",8.0
Profit & loss,3,//Document/P[7]/Sub,"[392.8800048828125, 426.66400146484375, 439.3958435058594, 453.6595001220703]",8.0
FRA/IRS,3,//Document/P[7]/Sub[2],"[392.47999572753906, 425.4355010986328, 428.73414611816406, 433.07550048828125]",8.0
Futures,3,//Document/P[7]/Sub[3],"[392.8000030517578, 414.41949462890625, 420.2542266845703, 422.0594940185547]",8.0
Fx Forwards,3,//Document/P[7]/Sub[4],"[392.63999938964844, 403.37950134277344, 436.4974822998047, 411.0195007324219]",8.0
Countervalue USD,3,//Document/H1[7],"[663.6000061035156, 479.656005859375, 731.583740234375, 506.53599548339844]",8.0
Asset Allocation,4,//Document/Table[6]/TR/TH/P,"[35.75999450683594, 479.656005859375, 96.38346862792969, 506.53599548339844]",8.0
-,4,//Document/Table[6]/TR/TH/P[2],"[111.36000061035156, 485.8300018310547, 170.66049194335938, 486.38999938964844]",70.0
Countervalue USD,4,//Document/Table[6]/TR/TH[2]/P,"[188.39999389648438, 479.656005859375, 256.6591339111328, 506.53599548339844]",8.0
Weight,4,//Document/Table[6]/TR/TH[3]/P,"[270.24000549316406, 479.656005859375, 298.08924865722656, 506.53599548339844]",8.0
I USD,4,//Document/Table[6]/TR/TH[4]/P,"[301.44000244140625, 479.656005859375, 357.9391326904297, 506.53599548339844]",8.0
CHF,4,//Document/Table[6]/TR/TH[5]/P,"[381.8399963378906, 479.656005859375, 399.2319641113281, 506.53599548339844]",8.0
Liquidity,4,//Document/Table[6]/TR[2]/TH/P,"[36.24000549316406, 462.13600158691406, 69.72023010253906, 489.01600646972656]",8.0
149'195,4,//Document/Table[6]/TR[2]/TD/P,"[227.80799865722656, 462.13600158691406, 256.96815490722656, 489.01600646972656]",8.0
0.77%,4,//Document/Table[6]/TR[2]/TD[2]/P,"[274.55999755859375, 462.1999969482422, 297.96478271484375, 489.0800018310547]",8.0
0.77%,4,//Document/Table[6]/TR[2]/TD[3]/P,"[334.55999755859375, 462.19200134277344, 357.96478271484375, 489.07200622558594]",8.0
Cash accounts,4,//Document/Table[6]/TR[3]/TH/P,"[36.0, 460.68800354003906, 88.09771728515625, 468.3280029296875]",8.0
4'195,4,//Document/Table[6]/TR[3]/TD/P,"[236.16000366210938, 460.70399475097656, 256.3682556152344, 468.343994140625]",8.0
0.02%,4,//Document/Table[6]/TR[3]/TD[2]/P,"[274.55999755859375, 460.74400329589844, 297.65447998046875, 468.3840026855469]",8.0
0.02%,4,//Document/Table[6]/TR[3]/TD[3]/P,"[334.55999755859375, 460.7359924316406, 357.65447998046875, 468.3760070800781]",8.0
Money Market,4,//Document/Table[6]/TR[4]/TH/P,"[36.24000549316406, 450.00799560546875, 85.55387878417969, 457.6479949951172]",8.0
Fixed deposits and fiduciaries,4,//Document/Table[6]/TR[5]/TH/P,"[36.24000549316406, 439.0800018310547, 137.7486114501953, 446.7200012207031]",8.0
145'000,4,//Document/Table[6]/TR[5]/TD/P,"[228.47999572753906, 439.0800018310547, 256.91175842285156, 446.7200012207031]",8.0
0.75%,4,//Document/Table[6]/TR[5]/TD[2]/P,"[274.32000732421875, 439.0800018310547, 297.69891357421875, 446.7200012207031]",8.0
0.75%,4,//Document/Table[6]/TR[5]/TD[3]/P,"[334.32000732421875, 439.0800018310547, 357.69891357421875, 446.7200012207031]",8.0
Bonds,4,//Document/Table[6]/TR[6]/TH/P,"[36.24000549316406, 412.9360046386719, 61.46070861816406, 439.8159942626953]",8.0
12'404'917,4,//Document/Table[6]/TR[6]/TD/P,"[217.67999267578125, 412.9360046386719, 256.74969482421875, 439.8159942626953]",8.0
63.77%,4,//Document/Table[6]/TR[6]/TD[2]/P,"[270.47999572753906, 412.9440002441406, 298.06678771972656, 439.8240051269531]",8.0
63.77%,4,//Document/Table[6]/TR[6]/TD[3]/P,"[330.47999572753906, 412.8800048828125, 358.06678771972656, 439.75999450683594]",8.0
Bonds,4,//Document/Table[6]/TR[7]/TH/P,"[36.24000549316406, 411.53599548339844, 59.53468322753906, 419.1759948730469]",8.0
11'024'421,4,//Document/Table[6]/TR[7]/TD/P,"[218.63999938964844, 411.41600036621094, 257.39158630371094, 419.0559997558594]",8.0
56.67%,4,//Document/Table[6]/TR[7]/TD[2]/P,"[270.2480010986328, 411.47999572753906, 298.0825958251953, 419.1199951171875]",8.0
56.67%,4,//Document/Table[6]/TR[7]/TD[3]/P,"[330.24000549316406, 411.47999572753906, 357.71693420410156, 419.1199951171875]",8.0
Bond funds I certificates,4,//Document/Table[6]/TR[8]/TH/P,"[36.24000549316406, 400.44000244140625, 119.43003845214844, 408.0800018310547]",8.0
1'380'496,4,//Document/Table[6]/TR[8]/TD/P,"[222.72000122070312, 400.44000244140625, 257.0635070800781, 408.0800018310547]",8.0
7.10%,4,//Document/Table[6]/TR[8]/TD[2]/P,"[274.55999755859375, 400.3840026855469, 297.77288818359375, 408.0240020751953]",8.0
7.10%,4,//Document/Table[6]/TR[8]/TD[3]/P,"[334.32000732421875, 400.44000244140625, 357.89764404296875, 408.0800018310547]",8.0
Convertibles,4,//Document/Table[6]/TR[9]/TH/P,"[36.15199279785156, 389.63999938964844, 79.88246154785156, 397.2799987792969]",8.0
Equities,4,//Document/Table[6]/TR[10]/TH/P,"[36.4320068359375, 363.552001953125, 67.1593017578125, 390.4320068359375]",8.0
25'458,4,//Document/Table[6]/TR[10]/TD/P,"[231.60000610351562, 363.4960021972656, 256.2497863769531, 390.3760070800781]",8.0
0.13%,4,//Document/Table[6]/TR[10]/TD[2]/P,"[274.55999755859375, 363.4960021972656, 297.94110107421875, 390.3760070800781]",8.0
0.13%,4,//Document/Table[6]/TR[10]/TD[4]/P,"[375.8399963378906, 363.4960021972656, 399.2352600097656, 390.3760070800781]",8.0
Equities,4,//Document/Table[6]/TR[11]/TH/P,"[36.24000549316406, 362.0399932861328, 65.13954162597656, 369.67999267578125]",8.0
25'458,4,//Document/Table[6]/TR[11]/TD/P,"[232.0800018310547, 362.0399932861328, 256.4496307373047, 369.67999267578125]",8.0
0.13%,4,//Document/Table[6]/TR[11]/TD[2]/P,"[274.32000732421875, 362.0399932861328, 297.65289306640625, 369.67999267578125]",8.0
0.13%,4,//Document/Table[6]/TR[11]/TD[4]/P,"[375.6000061035156, 362.03199768066406, 398.9328918457031, 369.6719970703125]",8.0
Equity funds/certificates,4,//Document/Table[6]/TR[12]/TH/P,"[36.24000549316406, 351.1759948730469, 118.41426086425781, 358.8159942626953]",8.0
Mixed funds,4,//Document/Table[6]/TR[13]/TH/P,"[36.24000549316406, 325.1679992675781, 82.33262634277344, 352.0480041503906]",8.0
Structured products,4,//Document/Table[6]/TR[14]/TH/P,"[35.67999267578125, 308.5760040283203, 110.63824462890625, 335.45599365234375]",8.0
6'846'829,4,//Document/Table[6]/TR[14]/TD/P,"[221.52000427246094, 308.5919952392578, 256.64024353027344, 335.4720001220703]",8.0
35.20%,4,//Document/Table[6]/TR[14]/TD[2]/P,"[270.24000549316406, 308.656005859375, 297.97377014160156, 335.53599548339844]",8.0
35.20%,4,//Document/Table[6]/TR[14]/TD[3]/P,"[330.24000549316406, 308.656005859375, 358.04383850097656, 335.53599548339844]",8.0
Structured products (Bonds),4,//Document/Table[6]/TR[15]/TH/P,"[36.0, 307.3760070800781, 132.60678100585938, 315.01600646972656]",8.0
5'854'729,4,//Document/Table[6]/TR[15]/TD/P,"[222.47999572753906, 307.25599670410156, 256.64784240722656, 314.89599609375]",8.0
30.10%,4,//Document/Table[6]/TR[15]/TD[2]/P,"[270.47999572753906, 307.32000732421875, 297.58168029785156, 314.9600067138672]",8.0
30.10%,4,//Document/Table[6]/TR[15]/TD[3]/P,"[330.0, 307.32000732421875, 358.06787109375, 314.9600067138672]",8.0
Structured products (Equities),4,//Document/Table[6]/TR[16]/TH/P,"[36.25599670410156, 296.2799987792969, 138.37142944335938, 303.9199981689453]",8.0
992'100,4,//Document/Table[6]/TR[16]/TD/P,"[228.0, 296.21600341796875, 256.3857421875, 303.8560028076172]",8.0
5.10%,4,//Document/Table[6]/TR[16]/TD[2]/P,"[274.55999755859375, 296.2799987792969, 297.64788818359375, 303.9199981689453]",8.0
5.10%,4,//Document/Table[6]/TR[16]/TD[3]/P,"[334.55999755859375, 296.2799987792969, 357.63519287109375, 303.9199981689453]",8.0
Various Certificates,4,//Document/Table[6]/TR[17]/TH/P,"[36.03199768066406, 285.29600524902344, 104.12197875976562, 292.9360046386719]",8.0
Metal accounts and precious metals,4,//Document/Table[6]/TR[18]/TH/P,"[36.24000549316406, 259.08799743652344, 167.9877166748047, 285.96800231933594]",8.0
Metal accounts,4,//Document/Table[6]/TR[19]/TH/P,"[36.24000549316406, 257.8719940185547, 89.04722595214844, 265.5119934082031]",8.0
Precious metals,4,//Document/Table[6]/TR[20]/TH/P,"[36.24000549316406, 247.07200622558594, 92.55622863769531, 254.71200561523438]",8.0
Real Estate,4,//Document/Table[6]/TR[21]/TH/P,"[36.24000549316406, 220.92799377441406, 78.71205139160156, 247.80799865722656]",8.0
Other assets,4,//Document/Table[6]/TR[22]/TH/P,"[36.0, 204.3040008544922, 83.44004821777344, 231.1840057373047]",8.0
